gene,gen_1,gen_8,gen_12,gen_19
ASN1,0.025056343731426196,0.5062041562146768,-0.8448432301121648,-1.0695095446283858
ASN2,0.1105988886786803,0.20168375688158777,-0.09847715228209938,-1.23441719257981
ASP1,-0.13979165287157427,0.04072235291979426,-1.3162417447255235,-1.9528414140243893
ASP3-1|ASP3-2|ASP3-3|ASP3-4,0.032077261202547384,0.09743912199242621,0.0012808455778671815,0.2026684576177278
ASR1,-0.08832754086986859,0.4684807367132167,0.9339602007523838,0.47336317494275715
AST2,-0.11793794828304108,0.287799372961605,0.9614550537336735,1.4993195683723275
ATC1,-0.7439268311989528,0.5515810963822325,-0.007534052080237457,-0.48919219739192127
ATE1,-0.12823268678775362,0.36490987888014015,0.6965340542991206,0.6556011829168914
ATF1,-0.18659941544777953,0.11006960311886521,-0.5093586890214052,0.226081272086373
ATF2,-0.64695870974238,0.4559052113513715,-1.0539769784302995,-1.8809779345525193
ATG1,-0.5065869916458775,-0.2071811573926969,0.327838051850888,0.9946118408327633
ATG10,-2.6464745139577985,0.8052366425494859,,0.37828526227687714
ATG11,-0.2239818511169128,0.06111356680176739,-0.10940541817410707,0.5725148925614276
ATG12,-0.44730138907286154,0.6570346600376618,0.19110543005133715,0.5942378183633926
ATG13,-0.31020009615024413,0.28396914072905494,0.022311461021474015,0.8191860462030934
ATG14,-0.8797082622282598,1.4811518580766156,1.0835796544045528,0.8345546783118328
ATG15,-1.7896183184025412,0.21441557221935514,-0.5205341088384877,-0.18025038798836993
ATG16,-2.5322091369903035,-0.235440961965118,0.5781415170300589,0.4126520412501192
ATG17,-3.526251478118757,0.31334680478862165,-0.46161460887060024,0.3192322846744106
ATG18,0.0002026722572958126,0.15570132720612848,0.08490503973606153,0.5046124394518147
ATG19,-0.05874879157147513,0.1954662596146678,0.8269678487511987,2.194019202460183
ATG2,-0.5644199237373652,0.16505331782756194,0.9113839790135592,1.2463307563450687
ATG20,-1.3838051314898319,0.19678395410145266,0.5499724266852749,1.075156762054942
ATG21,,0.56234291222219,1.2959701110662545,1.9222104947968237
ATG22,-0.1677113985948569,0.40592066726404585,-0.18992802340950152,-0.027377895862293413
ATG23,-0.11781774662841944,0.027917226714295307,0.48350412243620916,0.9498699693004561
ATG26,-0.18999697357757564,-0.06506545664210564,-0.3848954019225856,0.7913101425881116
ATG27,-0.2962319555121379,0.2835228977740057,-0.710053193956214,-0.5482724858660347
ATG29,-0.8475055638349271,0.2597528216931592,0.4430817050547852,0.6747902339651308
ATG3,-0.3998015784344288,0.09911672333651556,0.7722614644923448,0.980414961872305
ATG4,-0.6320362842569186,0.34770619800271013,0.7773090187426411,1.140891669731585
ATG5,-0.1702353775836334,0.6375902781991257,1.6411893322414244,0.534540493904752
ATG7,-0.24379974250156322,0.012231439706333003,0.42349035658208817,0.3913650303273428
ATG8,0.0417287881480126,0.692882257793696,1.8148703727433342,2.69335681664108
ATG9,-0.13720286600934792,0.31662340503529246,0.35731622090691806,1.4579134839170653
ATH1,,0.4203270840730311,,2.6298480487289013
ATM1,-0.7529418820157929,0.5640032998639537,-0.7618073581622173,-0.630507953209786
ATO2,-0.1750776502093818,0.4453998711117697,2.1469395733755414,2.410155591024083
ATO3,0.09817413794639876,0.2679598027953867,1.663644724640432,1.0402968122634442
ATP1,0.1195429397300342,-0.09183314101073037,-0.6054887121504152,-0.23196871775919417
ATP10,-1.1040391984700733,0.08440372776505031,-0.254564784005252,0.07430349587771903
ATP11,0.03778284998233085,0.42603534797209747,0.29860460872788025,0.6117246194610351
ATP12,-0.09350426457822604,0.409900230424278,-0.0965964142117397,-0.027322481400207883
ATP14,0.0492399471971202,0.2605879683611672,-0.40605199851473106,-0.43511121446825946
ATP15,-0.09716566482972334,0.6759108169498754,0.8999933654652786,0.5693406969821844
ATP16,-0.059521209069992045,-0.08590983670409635,-0.3084225363390375,0.14457811055420397
ATP17,-0.005640511239142558,0.6852140980120707,-0.21497050364558867,-0.06590478533672817
ATP18,0.02002571213546627,0.6802007349242872,0.38092830943247613,-0.041693272704167304
ATP19,-0.9560369129638142,0.16464131877445629,0.3280511165259709,-0.47271720024391745
ATP2,0.050809856057920356,-0.32952597368887876,-0.6891763313509276,-0.680237985054786
ATP20,0.16167700425763384,0.41097439558872245,-0.009142272891002287,-0.3861914577561665
ATP3,0.021559692521860296,-0.11902858355339951,-0.6313790321844938,0.07949296078306134
ATP4,-0.13555694750362465,0.30046678925030884,0.019958045611755466,0.2602217489317961
ATP5,-0.021453040061361534,0.19731684124668233,-0.3443779593238673,-0.013286000233568768
ATP7,-0.2913875546453504,0.15591282601619702,0.2641679916361937,0.6736197730995912
ATP8,-0.5935789100371303,-0.20307522065433614,-1.3008901236106303,-2.2164356583643325
ATR1,-0.26560537372660803,0.4379342394930736,-0.9748401610385367,-1.5790065857203481
ATS1,-0.0469381945230727,0.25528737928739764,-0.08621932360422968,0.055696461611855264
ATX1,-0.29631485591891477,1.550078098812735,0.17693276823501589,-0.913164714724312
ATX2,-0.4959216666004151,1.0998576491642673,-0.35687934080482836,-0.6385179385750196
AUA1,-1.3011074382697085,0.11798169237877702,-0.26151060271553445,-0.7830850804576747
AUR1,,0.0027865334650813978,,-2.8879404945294267
AUS1,-0.19812612016848036,0.3663901536725486,0.3122552497327521,0.3733474516138271
AVO1,-0.5376610250565802,0.3596608459477137,-0.7398445069259246,-0.07234690884363364
AVO2,-0.5858786387764597,0.31092054873964914,-0.04547585181778883,1.1997947909054578
AVT1,0.20518298862367734,0.164422660416411,-0.4826998236867084,-0.5589213545015193
AVT2,-0.855713331711525,0.20283917071247956,-0.17314157109458436,-0.6209624217669493
AVT3,0.15680159201635555,0.19687546854188828,0.15097734431240545,0.5194481628816818
AVT4,-0.255710581368399,-0.015624004991165785,-0.7203877591345066,-0.46660076891830965
AVT5,-0.20875929748371666,0.3405266224353727,-0.5376857339418974,-0.45627520680041134
AVT6,-0.051488335165975695,0.19432146587287658,-0.19261837912576998,0.2155593774974426
AVT7,0.17455156784542855,0.3444439662724343,0.23920694420335106,0.42420268360324076
AXL1,-0.5598949693239524,0.39118606475280665,0.5170665298716692,0.1737121520452646
AXL2,-0.0388563551673491,0.6095089528734784,0.7201863627346452,0.4853160289868113
AYR1,0.10491157510467743,0.43879729154606917,0.23857822271828683,1.2102238913751844
AYT1,-1.0972501450034498,0.14711258810460529,-0.7288409310920336,-0.06085297112049205
AZF1,-0.23837841303205112,0.05742804027896083,0.5620033956220464,0.9286888248074341
AZR1,,0.7790686622969918,3.0641303374197157,
BAG7,-0.18898475576299956,0.4800088898027015,0.9763103400139966,1.2711842017095945
BAP2,0.044321321834587965,,-1.0241954563310895,-0.8039120144014902
BAP3,0.02495017061262581,0.41896927840852344,-1.1756534502117366,-1.5592659944545844
BAR1,-1.205142051083569,1.3588764013166406,0.2679632355298603,0.22320886744738042
BAS1,0.35954238668714017,0.502934654153097,-0.18809668162434168,-0.9559945298951416
BAT1,0.03817546861890608,0.5292833551727713,-0.6260126056746186,-1.6677179273839002
BAT2,-0.1395281382603965,-0.20062723828526188,0.20195081228324901,0.38241328719761275
BBC1,-0.34385307263501774,0.03611405912844801,0.5121118715321276,0.9413084712550325
BBP1,-1.2110073206713057,0.49744238432139687,0.3444857139327106,0.44933556259185936
BCD1,0.32352723974818154,0.4526994688943615,0.9877120977472971,0.6721965719838432
BCK1,-0.34536910677376437,0.2356447755826309,-0.15128935161676266,-0.13743862731138662
BCK2,-0.05868168561187955,0.12270799005116721,0.36605039724631555,0.5164887800721586
BCP1,-0.1021554805676738,0.5426882121821778,-1.001252566011237,-2.607160907278382
BCS1,-0.7720759151360602,0.0851984009919484,0.1394300914269171,0.15803007329328383
BCY1,-0.14158701575479543,0.12246755782731732,0.6437019439190467,1.1911732308235867
BDF1,-0.8159123814389105,-0.07817322021199234,0.6168322564884182,0.5478325846907023
BDF2,-1.8417351857901072,0.7721190908911322,0.39605857341575146,-0.23615995047304567
BDH1,-0.04602592447349604,0.009600464567296796,0.7220884879239876,1.5414847460365935
BDP1,-0.22753771974102538,0.34478690203653456,0.3592219355368474,0.6826273319551664
